Descripcion;Colección;Prefijo_Coleccion;Codigo_Producto;SKU;Foto_Comodin_Coleccion;Foto_Real_Codigo_Producto;Precio_EUR;Precio_COP;Multiplicador
;AVORIO E ORO;GIG;025;GIG025;Avorio_E_Oro.png;025.jpg;EUR 33,33;COP 419.903;
Medium fruit bowl;GIALLO FIORE;GF;026;GF026;Giallo_Fiore.png;026.jpg;EUR 23,80;COP 299.880;
;BIANCO FIORE;BF;026;BF026;Bianco_Fiore.png;026.jpg;EUR 23,80;COP 299.880;
;MAZZETTO;MZ;026;MZ026;Mazzetto.png;026.jpg;EUR 27,41;COP 345.341;
;GAROFANO BLU;GB;026;GB026;Garofano_Blu.png;026.jpg;EUR 40,39;COP 508.939;
;GAROFANO IMOLA;GI;026;GI026;Garofano_Imola.png;026.jpg;EUR 40,39;COP 508.939;
;GAROFANO TIFFANY;GT;026;GT026;Garofano_Tiffany.png;026.jpg;EUR 40,39;COP 508.939;
;GAROFANO ROSA;GP;026;GP026;Garofano_Rosa.png;026.jpg;EUR 40,39;COP 508.939;
;GAROFANO LAVI;GL;026;GL026;Garofano_Lavi.png;026.jpg;EUR 40,39;COP 508.939;
;ROSSO E ORO;GRG;026;GRG026;Rosso_E_Oro.png;026.jpg;EUR 44,43;COP 559.833;
;AVORIO E ORO;GIG;026;GIG026;Avorio_E_Oro.png;026.jpg;EUR 44,43;COP 559.833;
Large fruit bowl;GIALLO FIORE;GF;027;GF027;Giallo_Fiore.png;027.jpg;EUR 29,58;COP 372.658;
;BIANCO FIORE;BF;027;BF027;Bianco_Fiore.png;027.jpg;EUR 29,58;COP 372.658;
;MAZZETTO;MZ;027;MZ027;Mazzetto.png;027.jpg;EUR 34,62;COP 436.262;
;GAROFANO BLU;GB;027;GB027;Garofano_Blu.png;027.jpg;EUR 48,33;COP 608.933;
;GAROFANO IMOLA;GI;027;GI027;Garofano_Imola.png;027.jpg;EUR 51,94;COP 654.394;
;GAROFANO TIFFANY;GT;027;GT027;Garofano_Tiffany.png;027.jpg;EUR 51,94;COP 654.394;
;GAROFANO ROSA;GP;027;GP027;Garofano_Rosa.png;027.jpg;EUR 51,94;COP 654.394;
;GAROFANO LAVI;GL;027;GL027;Garofano_Lavi.png;027.jpg;EUR 51,94;COP 654.394;
;ROSSO E ORO;GRG;027;GRG027;Rosso_E_Oro.png;027.jpg;EUR 57,13;COP 719.833;
;AVORIO E ORO;GIG;027;GIG027;Avorio_E_Oro.png;027.jpg;EUR 57,13;COP 719.833;
